0
Planet_Name
Host_Name
Number_of_Stars
Number_of_Planets
Discovery_Method
Discovery_Year
Discovery_Facility
Controversial_Flag
Orbital_Period_[days]
Orbital_Period_Upper_Unc._[days]
Orbital_Period_Lower_Unc._[days]
Orbital_Period_Limit_Flag
Orbit_Semi-Major_Axis_[au])
Orbit_Semi-Major_Axis_Upper_Unc._[au]
Orbit_Semi-Major_Axis_Lower_Unc._[au]
Orbit_Semi-Major_Axis_Limit_Flag
Planet_Radius_[Earth_Radius]
Planet_Radius_Upper_Unc._[Earth_Radius]
Planet_Radius_Lower_Unc._[Earth_Radius]
Planet_Radius_Limit_Flag
Planet_Radius_[Jupiter_Radius]
Planet_Radius_Upper_Unc._[Jupiter_Radius]
Planet_Radius_Lower_Unc._[Jupiter_Radius]
Planet_Radius_Limit_Flag
Planet_Mass_or_Mass*sin(i)_[Earth_Mass]
Planet_Mass_or_Mass*sin(i)_[Earth_Mass]_Upper_Unc.
Planet_Mass_or_Mass*sin(i)_[Earth_Mass]_Lower_Unc.
Planet_Mass_or_Mass*sin(i)_[Earth_Mass]_Limit_Flag
Planet_Mass_or_Mass*sin(i)_[Jupiter_Mass]
Planet_Mass_or_Mass*sin(i)_[Jupiter_Mass]_Upper_Unc.
Planet_Mass_or_Mass*sin(i)_[Jupiter_Mass]_Lower_Unc.
Planet_Mass_or_Mass*sin(i)_[Jupiter_Mass]_Limit_Flag
Planet_Mass_or_Mass*sin(i)_Provenance
Eccentricity
Eccentricity_Upper_Unc.
Eccentricity_Lower_Unc.
Eccentricity_Limit_Flag
Insolation_Flux_[Earth_Flux]
Insolation_Flux_Upper_Unc._[Earth_Flux]
Insolation_Flux_Lower_Unc._[Earth_Flux]
Insolation_Flux_Limit_Flag
Equilibrium_Temperature_[K]
Equilibrium_Temperature_Upper_Unc._[K]
Equilibrium_Temperature_Lower_Unc._[K]
Equilibrium_Temperature_Limit_Flag
Data_show_Transit_Timing_Variations
Spectral_Type
Stellar_Effective_Temperature_[K]
Stellar_Effective_Temperature_Upper_Unc._[K]
Stellar_Effective_Temperature_Lower_Unc._[K]
Stellar_Effective_Temperature_Limit_Flag
Stellar_Radius_[Solar_Radius]
Stellar_Radius_Upper_Unc._[Solar_Radius]
Stellar_Radius_Lower_Unc._[Solar_Radius]
Stellar_Radius_Limit_Flag
Stellar_Mass_[Solar_mass]
Stellar_Mass_Upper_Unc._[Solar_mass]
Stellar_Mass_Lower_Unc._[Solar_mass]
Stellar_Mass_Limit_Flag
Stellar_Metallicity_[dex]
Stellar_Metallicity_Upper_Unc._[dex]
Stellar_Metallicity_Lower_Unc._[dex]
Stellar_Metallicity_Limit_Flag
Stellar_Metallicity_Ratio
Stellar_Surface_Gravity_[log10(cm/s**2)]
Stellar_Surface_Gravity_Upper_Unc._[log10(cm/s**2)]
Stellar_Surface_Gravity_Lower_Unc._[log10(cm/s**2)]
Stellar_Surface_Gravity_Limit_Flag
RA_[sexagesimal]
RA_[deg]
Dec_[sexagesimal]
Dec_[deg]
Distance_[pc]
Distance_[pc]_Upper_Unc
Distance_[pc]_Lower_Unc
V_(Johnson)_Magnitude
V_(Johnson)_Magnitude_Upper_Unc
V_(Johnson)_Magnitude_Lower_Unc
Ks_(2MASS)_Magnitude
Ks_(2MASS)_Magnitude_Upper_Unc
Ks_(2MASS)_Magnitude_Lower_Unc
Gaia_Magnitude
Gaia_Magnitude_Upper_Unc
Gaia_Magnitude_Lower_Unc
