KOI_Name,Exoplanet_Archive_Disposition,Orbital_Period_[days],Transit_Epoch_[BKJD],Impact_Parameter,Transit_Duration_[hrs],Transit_Depth_[ppm],Planetary_Radius_[Earth_radii],Equilibrium_Temperature_[K],Insolation_Flux_[Earth_flux],Transit_Signal-to-Noise,Stellar_Effective_Temperature_[K],Stellar_Surface_Gravity_[log10(cm/s**2)],Stellar_Radius_[Solar_radii],RA_[decimal_degrees],Dec_[decimal_degrees],Kepler-band_[mag]
K01669.01,CONFIRMED,61.0373591,175.17671,0.071,8.378,437.5,3.38,610.0,32.74,40.2,6309.0,4.154,1.614,290.66852,40.39772,14.171
K01672.01,CONFIRMED,33.8677783,137.51532,0.787,3.72,894.8,2.31,394.0,5.69,23.8,4564.0,4.593,0.691,290.10654,40.490662,15.81
K01463.01,FALSE POSITIVE,1064.2680956,144.086072,0.447,11.5521,22772.0,33.63,281.0,1.47,1171.2,6340.0,3.833,2.173,288.25864,43.376465,12.328
K01464.01,FALSE POSITIVE,2.113202658,356.32832,3.178,3.5234,2104.8,207.71,1281.0,635.47,97.2,5482.0,4.502,0.858,296.91724,43.517529,15.465
K01467.01,FALSE POSITIVE,1.157808038,354.74488,1.203,3.6705,866.7,22.9,1579.0,1472.38,78.8,5566.0,4.532,0.886,297.17429,43.479099,15.837
K00178.01,FALSE POSITIVE,6.14281498,135.16169,0.67,4.624,122.0,1.82,1355.0,796.26,36.0,6495.0,4.128,1.554,292.03149,49.388618,13.45
K01531.01,CONFIRMED,5.69919592,136.58738,0.007,2.3906,159.4,1.16,964.0,204.18,35.3,5646.0,4.493,0.932,292.58444,49.923161,13.069
K01532.01,CONFIRMED,18.11473813,147.4904,0.896,5.2706,241.5,2.49,830.0,112.43,51.3,6109.0,4.247,1.36,288.66156,49.737209,12.841
K01533.01,CONFIRMED,6.24145791,134.88892,0.029,3.0998,163.7,1.6,1111.0,360.09,30.8,5810.0,4.25,1.259,286.27176,43.59523,13.939
K01534.01,CONFIRMED,20.4222447,146.9837,0.059,6.22,189.3,1.78,785.0,89.74,34.7,6119.0,4.274,1.299,290.09082,39.81699,13.47
K01589.01,CONFIRMED,8.72585478,138.76838,0.911,4.473,446.7,2.86,985.0,222.19,37.7,6036.0,4.326,1.131,298.25204,40.496078,14.764
